  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)
Earth Umbral      Jan 01 2024 04:17:38.179687500   Jan 01 2024 04:51:48.273437500      34.168229167
Earth Penumbral   Jan 01 2024 04:17:28.550781250   Jan 01 2024 04:51:57.902343750      34.489192708
Earth Umbral      Jan 01 2024 04:26:52.472656250   Jan 01 2024 05:01:05.222656250      34.212500000
Earth Penumbral   Jan 01 2024 04:26:42.843750000   Jan 01 2024 05:01:14.917968750      34.534570313
Earth Penumbral   Jan 01 2024 04:36:48.402343750   Jan 01 2024 05:11:18.019531250      34.493619792
Earth Umbral      Jan 01 2024 04:36:58.031250000   Jan 01 2024 05:11:08.390625000      34.172656250
Earth Penumbral   Jan 01 2024 04:47:07.640625000   Jan 01 2024 05:21:34.070312500      34.440494792
Earth Umbral      Jan 01 2024 04:47:17.269531250   Jan 01 2024 05:21:24.441406250      34.119531250
Earth Umbral      Jan 01 2024 04:56:57.992187500   Jan 01 2024 05:31:06.824218750      34.147200521
Earth Penumbral   Jan 01 2024 04:56:48.363281250   Jan 01 2024 05:31:16.519531250      34.469270833
Earth Umbral      Jan 01 2024 05:06:00.132812500   Jan 01 2024 05:40:11.554687500      34.190364583
Earth Penumbral   Jan 01 2024 05:05:50.437500000   Jan 01 2024 05:40:21.183593750      34.512434896
Earth Penumbral   Jan 01 2024 05:15:02.804687500   Jan 01 2024 05:49:33.683593750      34.514648438
Earth Umbral      Jan 01 2024 05:15:12.433593750   Jan 01 2024 05:49:24.054687500      34.193684896
Earth Umbral      Jan 01 2024 05:25:18.257812500   Jan 01 2024 05:59:29.613281250      34.189257813
Earth Penumbral   Jan 01 2024 05:25:08.562500000   Jan 01 2024 05:59:39.242187500      34.511328125
Earth Umbral      Jan 01 2024 05:35:51.042968750   Jan 01 2024 06:10:01.136718750      34.168229167
Earth Penumbral   Jan 01 2024 05:35:41.281250000   Jan 01 2024 06:10:10.832031250      34.492513021
Earth Penumbral   Jan 01 2024 05:45:26.187500000   Jan 01 2024 06:19:53.878906250      34.461523437
Earth Umbral      Jan 01 2024 05:45:35.882812500   Jan 01 2024 06:19:44.250000000      34.139453125
Earth Penumbral   Jan 01 2024 05:54:13.320312500   Jan 01 2024 06:28:42.738281250      34.490299479
Earth Umbral      Jan 01 2024 05:54:22.949218750   Jan 01 2024 06:28:33.109375000      34.169335938
Earth Umbral      Jan 01 2024 06:03:29.339843750   Jan 01 2024 06:37:42.156250000      34.213606771
Earth Penumbral   Jan 01 2024 06:03:19.710937500   Jan 01 2024 06:37:51.785156250      34.534570313
Earth Umbral      Jan 01 2024 06:13:42.800781250   Jan 01 2024 06:47:53.226562500      34.173763021
Earth Penumbral   Jan 01 2024 06:13:33.171875000   Jan 01 2024 06:48:02.855468750      34.494726562
Earth Umbral      Jan 01 2024 06:24:15.054687500   Jan 01 2024 06:58:22.226562500      34.119531250
Earth Penumbral   Jan 01 2024 06:24:05.425781250   Jan 01 2024 06:58:31.855468750      34.440494792
