  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)
Earth Umbral      Jan 01 2024 06:25:42.113281250   Jan 01 2024 06:59:49.285156250      34.119531250
Earth Penumbral   Jan 01 2024 06:25:32.484375000   Jan 01 2024 06:59:58.914062500      34.440494792
Earth Umbral      Jan 01 2024 06:39:01.113281250   Jan 01 2024 07:13:11.738281250      34.177083333
Earth Penumbral   Jan 01 2024 06:38:51.484375000   Jan 01 2024 07:13:21.433593750      34.499153646
Earth Penumbral   Jan 01 2024 06:51:39.738281250   Jan 01 2024 07:26:10.617187500      34.514648438
Earth Umbral      Jan 01 2024 06:51:49.300781250   Jan 01 2024 07:26:00.988281250      34.194791667
Earth Umbral      Jan 01 2024 07:06:41.667968750   Jan 01 2024 07:40:52.757812500      34.184830729
Earth Penumbral   Jan 01 2024 07:06:31.972656250   Jan 01 2024 07:41:02.453125000      34.508007812
Earth Umbral      Jan 01 2024 07:21:15.839843750   Jan 01 2024 07:55:24.339843750      34.141666667
Earth Penumbral   Jan 01 2024 07:21:06.144531250   Jan 01 2024 07:55:34.035156250      34.464843750
Earth Umbral      Jan 01 2024 07:33:34.609375000   Jan 01 2024 08:07:45.832031250      34.187044271
Earth Penumbral   Jan 01 2024 07:33:24.980468750   Jan 01 2024 08:07:55.460937500      34.508007812
Earth Penumbral   Jan 01 2024 07:47:13.664062500   Jan 01 2024 08:21:44.542968750      34.514648438
Earth Umbral      Jan 01 2024 07:47:23.359375000   Jan 01 2024 08:21:34.914062500      34.192578125
Earth Penumbral   Jan 01 2024 08:02:31.398437500   Jan 01 2024 08:36:57.894531250      34.441601562
Earth Umbral      Jan 01 2024 08:02:41.027343750   Jan 01 2024 08:36:48.265625000      34.120638021
Earth Umbral      Jan 01 2024 08:15:52.324218750   Jan 01 2024 08:50:03.015625000      34.178190104
Earth Penumbral   Jan 01 2024 08:15:42.628906250   Jan 01 2024 08:50:12.710937500      34.501367188
Earth Penumbral   Jan 01 2024 08:28:16.671875000   Jan 01 2024 09:02:47.617187500      34.515755208
Earth Umbral      Jan 01 2024 08:28:26.300781250   Jan 01 2024 09:02:37.988281250      34.194791667
Earth Umbral      Jan 01 2024 08:43:32.812500000   Jan 01 2024 09:17:43.968750000      34.185937500
Earth Penumbral   Jan 01 2024 08:43:23.117187500   Jan 01 2024 09:17:53.664062500      34.509114583
Earth Penumbral   Jan 01 2024 08:58:05.125000000   Jan 01 2024 09:32:33.015625000      34.464843750
Earth Umbral      Jan 01 2024 08:58:14.820312500   Jan 01 2024 09:32:23.386718750      34.142773437
Earth Umbral      Jan 01 2024 09:10:15.925781250   Jan 01 2024 09:44:27.148437500      34.187044271
Earth Penumbral   Jan 01 2024 09:10:06.296875000   Jan 01 2024 09:44:36.777343750      34.508007812
Earth Umbral      Jan 01 2024 09:24:04.609375000   Jan 01 2024 09:58:16.230468750      34.193684896
Earth Penumbral   Jan 01 2024 09:23:54.914062500   Jan 01 2024 09:58:25.859375000      34.515755208
Earth Penumbral   Jan 01 2024 09:39:30.312500000   Jan 01 2024 10:13:56.875000000      34.442708333
Earth Umbral      Jan 01 2024 09:39:39.941406250   Jan 01 2024 10:13:47.179687500      34.120638021
Earth Umbral      Jan 01 2024 09:52:43.468750000   Jan 01 2024 10:26:54.160156250      34.178190104
Earth Penumbral   Jan 01 2024 09:52:33.773437500   Jan 01 2024 10:27:03.855468750      34.501367188
Earth Penumbral   Jan 01 2024 10:04:53.539062500   Jan 01 2024 10:39:24.550781250      34.516861979
Earth Umbral      Jan 01 2024 10:05:03.167968750   Jan 01 2024 10:39:14.921875000      34.195898437
Earth Penumbral   Jan 01 2024 10:20:14.261718750   Jan 01 2024 10:54:44.742187500      34.508007812
Earth Umbral      Jan 01 2024 10:20:23.957031250   Jan 01 2024 10:54:35.113281250      34.185937500
Earth Umbral      Jan 01 2024 10:35:13.734375000   Jan 01 2024 11:09:22.300781250      34.142773437
Earth Penumbral   Jan 01 2024 10:35:04.039062500   Jan 01 2024 11:09:31.996093750      34.465950521
Earth Penumbral   Jan 01 2024 10:46:47.480468750   Jan 01 2024 11:21:18.027343750      34.509114583
Earth Umbral      Jan 01 2024 10:46:57.109375000   Jan 01 2024 11:21:08.398437500      34.188151042
Earth Umbral      Jan 01 2024 11:00:45.726562500   Jan 01 2024 11:34:57.347656250      34.193684896
Earth Penumbral   Jan 01 2024 11:00:36.097656250   Jan 01 2024 11:35:07.042968750      34.515755208
Earth Umbral      Jan 01 2024 11:16:38.722656250   Jan 01 2024 11:50:46.027343750      34.121744792
Earth Penumbral   Jan 01 2024 11:16:29.093750000   Jan 01 2024 11:50:55.656250000      34.442708333
Earth Penumbral   Jan 01 2024 11:29:24.851562500   Jan 01 2024 12:03:54.933593750      34.501367188
Earth Umbral      Jan 01 2024 11:29:34.480468750   Jan 01 2024 12:03:45.238281250      34.179296875
Earth Penumbral   Jan 01 2024 11:41:30.339843750   Jan 01 2024 12:16:01.351562500      34.516861979
Earth Umbral      Jan 01 2024 11:41:39.968750000   Jan 01 2024 12:15:51.722656250      34.195898437
Earth Penumbral   Jan 01 2024 11:57:05.207031250   Jan 01 2024 12:31:35.753906250      34.509114583
Earth Umbral      Jan 01 2024 11:57:14.902343750   Jan 01 2024 12:31:26.058593750      34.185937500
Earth Umbral      Jan 01 2024 12:12:12.515625000   Jan 01 2024 12:46:21.082031250      34.142773437
Earth Penumbral   Jan 01 2024 12:12:02.820312500   Jan 01 2024 12:46:30.777343750      34.465950521
Earth Penumbral   Jan 01 2024 12:23:28.597656250   Jan 01 2024 12:57:59.144531250      34.509114583
Earth Umbral      Jan 01 2024 12:23:38.226562500   Jan 01 2024 12:57:49.515625000      34.188151042
Earth Penumbral   Jan 01 2024 12:37:17.148437500   Jan 01 2024 13:11:48.093750000      34.515755208
Earth Umbral      Jan 01 2024 12:37:26.777343750   Jan 01 2024 13:11:38.464843750      34.194791667
