  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)
Earth Umbral      Jan 01 2024 07:40:06.273437500   Jan 01 2024 08:14:19.089843750      34.213606771
Earth Penumbral   Jan 01 2024 07:39:56.644531250   Jan 01 2024 08:14:28.785156250      34.535677083
Earth Umbral      Jan 01 2024 07:57:41.667968750   Jan 01 2024 08:31:49.503906250      34.130598958
Earth Penumbral   Jan 01 2024 07:57:32.039062500   Jan 01 2024 08:31:59.132812500      34.451562500
Earth Umbral      Jan 01 2024 08:13:49.937500000   Jan 01 2024 08:47:59.898437500      34.166015625
Earth Penumbral   Jan 01 2024 08:13:40.242187500   Jan 01 2024 08:48:09.593750000      34.489192708
Earth Penumbral   Jan 01 2024 08:28:16.671875000   Jan 01 2024 09:02:47.617187500      34.515755208
Earth Umbral      Jan 01 2024 08:28:26.300781250   Jan 01 2024 09:02:37.988281250      34.194791667
Earth Umbral      Jan 01 2024 08:46:10.660156250   Jan 01 2024 09:20:21.484375000      34.180403646
Earth Penumbral   Jan 01 2024 08:46:00.964843750   Jan 01 2024 09:20:31.179687500      34.503580729
Earth Umbral      Jan 01 2024 09:02:23.710937500   Jan 01 2024 09:36:32.277343750      34.142773437
Earth Penumbral   Jan 01 2024 09:02:14.082031250   Jan 01 2024 09:36:41.906250000      34.463736979
Earth Umbral      Jan 01 2024 09:16:43.273437500   Jan 01 2024 09:50:56.089843750      34.213606771
Earth Penumbral   Jan 01 2024 09:16:33.578125000   Jan 01 2024 09:51:05.785156250      34.536783854
Earth Umbral      Jan 01 2024 09:34:35.867187500   Jan 01 2024 10:08:43.769531250      34.131705729
Earth Penumbral   Jan 01 2024 09:34:26.238281250   Jan 01 2024 10:08:53.398437500      34.452669271
Earth Umbral      Jan 01 2024 09:50:44.269531250   Jan 01 2024 10:24:54.296875000      34.167122396
Earth Penumbral   Jan 01 2024 09:50:34.574218750   Jan 01 2024 10:25:03.992187500      34.490299479
Earth Penumbral   Jan 01 2024 10:04:53.539062500   Jan 01 2024 10:39:24.550781250      34.516861979
Earth Umbral      Jan 01 2024 10:05:03.167968750   Jan 01 2024 10:39:14.921875000      34.195898437
Earth Umbral      Jan 01 2024 10:23:04.992187500   Jan 01 2024 10:57:15.882812500      34.181510417
Earth Penumbral   Jan 01 2024 10:22:55.296875000   Jan 01 2024 10:57:25.578125000      34.504687500
Earth Umbral      Jan 01 2024 10:39:17.910156250   Jan 01 2024 11:13:26.476562500      34.142773437
Earth Penumbral   Jan 01 2024 10:39:08.281250000   Jan 01 2024 11:13:36.171875000      34.464843750
Earth Umbral      Jan 01 2024 10:53:20.140625000   Jan 01 2024 11:27:33.023437500      34.214713542
Earth Penumbral   Jan 01 2024 10:53:10.445312500   Jan 01 2024 11:27:42.652343750      34.536783854
Earth Umbral      Jan 01 2024 11:11:30.000000000   Jan 01 2024 11:45:37.902343750      34.131705729
Earth Penumbral   Jan 01 2024 11:11:20.371093750   Jan 01 2024 11:45:47.597656250      34.453776042
Earth Umbral      Jan 01 2024 11:27:38.468750000   Jan 01 2024 12:01:48.562500000      34.168229167
Earth Penumbral   Jan 01 2024 11:27:28.839843750   Jan 01 2024 12:01:58.257812500      34.490299479
Earth Penumbral   Jan 01 2024 11:41:30.339843750   Jan 01 2024 12:16:01.351562500      34.516861979
Earth Umbral      Jan 01 2024 11:41:39.968750000   Jan 01 2024 12:15:51.722656250      34.195898437
Earth Umbral      Jan 01 2024 11:59:59.257812500   Jan 01 2024 12:34:10.082031250      34.180403646
Earth Penumbral   Jan 01 2024 11:59:49.562500000   Jan 01 2024 12:34:19.777343750      34.503580729
Earth Umbral      Jan 01 2024 12:16:11.976562500   Jan 01 2024 12:50:20.609375000      34.143880208
Earth Penumbral   Jan 01 2024 12:16:02.347656250   Jan 01 2024 12:50:30.238281250      34.464843750
Earth Umbral      Jan 01 2024 12:29:56.875000000   Jan 01 2024 13:04:09.757812500      34.214713542
Earth Penumbral   Jan 01 2024 12:29:47.246093750   Jan 01 2024 13:04:19.386718750      34.535677083
Earth Umbral      Jan 01 2024 12:48:24.066406250   Jan 01 2024 13:22:31.968750000      34.131705729
Earth Penumbral   Jan 01 2024 12:48:14.437500000   Jan 01 2024 13:22:41.597656250      34.452669271
Earth Umbral      Jan 01 2024 13:04:32.667968750   Jan 01 2024 13:38:42.761718750      34.168229167
Earth Penumbral   Jan 01 2024 13:04:22.972656250   Jan 01 2024 13:38:52.457031250      34.491406250
Earth Penumbral   Jan 01 2024 13:18:07.074218750   Jan 01 2024 13:52:38.085937500      34.516861979
Earth Umbral      Jan 01 2024 13:18:16.703125000   Jan 01 2024 13:52:28.457031250      34.195898437
Earth Umbral      Jan 01 2024 13:36:53.390625000   Jan 01 2024 14:11:04.281250000      34.181510417
Earth Penumbral   Jan 01 2024 13:36:43.695312500   Jan 01 2024 14:11:13.976562500      34.504687500
Earth Umbral      Jan 01 2024 13:53:06.042968750   Jan 01 2024 14:27:14.675781250      34.143880208
Earth Penumbral   Jan 01 2024 13:52:56.414062500   Jan 01 2024 14:27:24.304687500      34.464843750
Earth Umbral      Jan 01 2024 14:06:33.609375000   Jan 01 2024 14:40:46.558593750      34.215820312
Earth Penumbral   Jan 01 2024 14:06:23.980468750   Jan 01 2024 14:40:56.187500000      34.536783854
Earth Umbral      Jan 01 2024 14:25:18.066406250   Jan 01 2024 14:59:26.035156250      34.132812500
Earth Penumbral   Jan 01 2024 14:25:08.437500000   Jan 01 2024 14:59:35.730468750      34.454882813
Earth Umbral      Jan 01 2024 14:41:26.867187500   Jan 01 2024 15:15:36.960937500      34.168229167
Earth Penumbral   Jan 01 2024 14:41:17.171875000   Jan 01 2024 15:15:46.656250000      34.491406250
Earth Penumbral   Jan 01 2024 14:54:43.808593750   Jan 01 2024 15:29:14.886718750      34.517968750
Earth Umbral      Jan 01 2024 14:54:53.437500000   Jan 01 2024 15:29:05.257812500      34.197005208
Earth Umbral      Jan 01 2024 15:13:47.656250000   Jan 01 2024 15:47:58.546875000      34.181510417
Earth Penumbral   Jan 01 2024 15:13:37.960937500   Jan 01 2024 15:48:08.242187500      34.504687500
Earth Umbral      Jan 01 2024 15:30:00.175781250   Jan 01 2024 16:04:08.808593750      34.143880208
Earth Penumbral   Jan 01 2024 15:29:50.546875000   Jan 01 2024 16:04:18.503906250      34.465950521
Earth Umbral      Jan 01 2024 15:43:10.410156250   Jan 01 2024 16:17:23.359375000      34.215820312
Earth Penumbral   Jan 01 2024 15:43:00.781250000   Jan 01 2024 16:17:33.054687500      34.537890625
Earth Umbral      Jan 01 2024 16:02:12.199218750   Jan 01 2024 16:36:20.167968750      34.132812500
Earth Penumbral   Jan 01 2024 16:02:02.570312500   Jan 01 2024 16:36:29.863281250      34.454882813
Earth Umbral      Jan 01 2024 16:18:21.066406250   Jan 01 2024 16:52:31.226562500      34.169335938
Earth Penumbral   Jan 01 2024 16:18:11.371093750   Jan 01 2024 16:52:40.921875000      34.492513021
Earth Penumbral   Jan 01 2024 16:31:20.609375000   Jan 01 2024 17:05:51.753906250      34.519075521
Earth Umbral      Jan 01 2024 16:31:30.238281250   Jan 01 2024 17:05:42.125000000      34.198111979
Earth Umbral      Jan 01 2024 16:50:41.921875000   Jan 01 2024 17:24:52.878906250      34.182617188
Earth Penumbral   Jan 01 2024 16:50:32.226562500   Jan 01 2024 17:25:02.574218750      34.505794271
Earth Umbral      Jan 01 2024 17:06:54.308593750   Jan 01 2024 17:41:03.007812500      34.144986979
Earth Penumbral   Jan 01 2024 17:06:44.679687500   Jan 01 2024 17:41:12.636718750      34.465950521
Earth Umbral      Jan 01 2024 17:19:47.210937500   Jan 01 2024 17:54:00.226562500      34.216927083
Earth Penumbral   Jan 01 2024 17:19:37.582031250   Jan 01 2024 17:54:09.921875000      34.538997396
Earth Umbral      Jan 01 2024 17:39:06.265625000   Jan 01 2024 18:13:14.367187500      34.135026042
Earth Penumbral   Jan 01 2024 17:38:56.703125000   Jan 01 2024 18:13:23.996093750      34.454882813
Earth Umbral      Jan 01 2024 17:55:15.332031250   Jan 01 2024 18:29:25.558593750      34.170442708
Earth Penumbral   Jan 01 2024 17:55:05.636718750   Jan 01 2024 18:29:35.253906250      34.493619792
Earth Penumbral   Jan 01 2024 18:07:57.476562500   Jan 01 2024 18:42:28.554687500      34.517968750
Earth Umbral      Jan 01 2024 18:08:07.105468750   Jan 01 2024 18:42:18.992187500      34.198111979
Earth Umbral      Jan 01 2024 18:27:36.187500000   Jan 01 2024 19:01:47.144531250      34.182617188
Earth Penumbral   Jan 01 2024 18:27:26.492187500   Jan 01 2024 19:01:56.839843750      34.505794271
Earth Umbral      Jan 01 2024 18:43:48.507812500   Jan 01 2024 19:17:57.207031250      34.144986979
Earth Penumbral   Jan 01 2024 18:43:38.878906250   Jan 01 2024 19:18:06.835937500      34.465950521
Earth Umbral      Jan 01 2024 18:56:24.078125000   Jan 01 2024 19:30:37.093750000      34.216927083
Earth Penumbral   Jan 01 2024 18:56:14.449218750   Jan 01 2024 19:30:46.789062500      34.538997396
Earth Umbral      Jan 01 2024 19:16:00.464843750   Jan 01 2024 19:50:08.500000000      34.133919271
Earth Penumbral   Jan 01 2024 19:15:50.835937500   Jan 01 2024 19:50:18.195312500      34.455989583
Earth Umbral      Jan 01 2024 19:32:09.597656250   Jan 01 2024 20:06:19.890625000      34.171549479
Earth Penumbral   Jan 01 2024 19:31:59.968750000   Jan 01 2024 20:06:29.585937500      34.493619792
Earth Penumbral   Jan 01 2024 19:44:34.277343750   Jan 01 2024 20:19:05.488281250      34.520182292
Earth Umbral      Jan 01 2024 19:44:43.906250000   Jan 01 2024 20:18:55.859375000      34.199218750
Earth Umbral      Jan 01 2024 20:04:30.519531250   Jan 01 2024 20:38:41.476562500      34.182617188
Earth Penumbral   Jan 01 2024 20:04:20.757812500   Jan 01 2024 20:38:51.171875000      34.506901042
Earth Umbral      Jan 01 2024 20:20:42.707031250   Jan 01 2024 20:54:51.472656250      34.146093750
Earth Penumbral   Jan 01 2024 20:20:33.011718750   Jan 01 2024 20:55:01.101562500      34.468164063
Earth Umbral      Jan 01 2024 20:33:00.945312500   Jan 01 2024 21:07:14.027343750      34.218033854
Earth Penumbral   Jan 01 2024 20:32:51.316406250   Jan 01 2024 21:07:23.656250000      34.538997396
Earth Umbral      Jan 01 2024 20:52:54.597656250   Jan 01 2024 21:27:02.765625000      34.136132813
Earth Penumbral   Jan 01 2024 20:52:44.968750000   Jan 01 2024 21:27:12.394531250      34.457096354
Earth Umbral      Jan 01 2024 21:09:03.929687500   Jan 01 2024 21:43:14.222656250      34.171549479
Earth Penumbral   Jan 01 2024 21:08:54.234375000   Jan 01 2024 21:43:23.917968750      34.494726562
Earth Penumbral   Jan 01 2024 21:21:11.144531250   Jan 01 2024 21:55:42.355468750      34.520182292
Earth Umbral      Jan 01 2024 21:21:20.773437500   Jan 01 2024 21:55:32.726562500      34.199218750
Earth Umbral      Jan 01 2024 21:41:24.785156250   Jan 01 2024 22:15:35.875000000      34.184830729
Earth Penumbral   Jan 01 2024 21:41:15.089843750   Jan 01 2024 22:15:45.570312500      34.508007812
Earth Umbral      Jan 01 2024 21:57:36.906250000   Jan 01 2024 22:31:45.671875000      34.146093750
Earth Penumbral   Jan 01 2024 21:57:27.210937500   Jan 01 2024 22:31:55.300781250      34.468164063
Earth Umbral      Jan 01 2024 22:09:37.812500000   Jan 01 2024 22:43:50.960937500      34.219140625
Earth Penumbral   Jan 01 2024 22:09:28.183593750   Jan 01 2024 22:44:00.589843750      34.540104167
Earth Umbral      Jan 01 2024 22:29:48.730468750   Jan 01 2024 23:03:56.964843750      34.137239583
Earth Penumbral   Jan 01 2024 22:29:39.101562500   Jan 01 2024 23:04:06.593750000      34.458203125
Earth Umbral      Jan 01 2024 22:45:58.195312500   Jan 01 2024 23:20:08.554687500      34.172656250
Earth Penumbral   Jan 01 2024 22:45:48.500000000   Jan 01 2024 23:20:18.250000000      34.495833333
Earth Penumbral   Jan 01 2024 22:57:48.011718750   Jan 01 2024 23:32:19.289062500      34.521289063
Earth Umbral      Jan 01 2024 22:57:57.640625000   Jan 01 2024 23:32:09.660156250      34.200325521
Earth Umbral      Jan 01 2024 23:18:19.117187500   Jan 01 2024 23:52:30.207031250      34.184830729
Earth Penumbral   Jan 01 2024 23:18:09.421875000   Jan 01 2024 23:52:39.902343750      34.508007812
Earth Umbral      Jan 01 2024 23:34:31.105468750   Jan 02 2024 00:08:39.937500000      34.147200521
Earth Penumbral   Jan 01 2024 23:34:21.410156250   Jan 02 2024 00:08:49.566406250      34.469270833
Earth Umbral      Jan 01 2024 23:46:14.679687500   Jan 02 2024 00:20:27.894531250      34.220247396
