  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)
Earth Umbral      Jan 01 2024 05:40:52.726562500   Jan 01 2024 06:15:01.757812500      34.150520833
Earth Penumbral   Jan 01 2024 05:40:43.031250000   Jan 01 2024 06:15:11.453125000      34.473697917
Earth Umbral      Jan 01 2024 05:52:12.992187500   Jan 01 2024 06:26:22.355468750      34.156054688
Earth Penumbral   Jan 01 2024 05:52:03.363281250   Jan 01 2024 06:26:31.984375000      34.477018229
Earth Umbral      Jan 01 2024 06:03:29.339843750   Jan 01 2024 06:37:42.156250000      34.213606771
Earth Penumbral   Jan 01 2024 06:03:19.710937500   Jan 01 2024 06:37:51.785156250      34.534570313
Earth Umbral      Jan 01 2024 06:16:22.441406250   Jan 01 2024 06:50:31.738281250      34.154947917
Earth Penumbral   Jan 01 2024 06:16:12.812500000   Jan 01 2024 06:50:41.367187500      34.475911458
Earth Penumbral   Jan 01 2024 06:29:04.320312500   Jan 01 2024 07:03:31.148437500      34.447135417
Earth Umbral      Jan 01 2024 06:29:14.015625000   Jan 01 2024 07:03:21.453125000      34.123958333
Earth Umbral      Jan 01 2024 06:40:34.546875000   Jan 01 2024 07:14:45.570312500      34.183723958
Earth Penumbral   Jan 01 2024 06:40:24.851562500   Jan 01 2024 07:14:55.265625000      34.506901042
Earth Penumbral   Jan 01 2024 06:51:39.738281250   Jan 01 2024 07:26:10.617187500      34.514648438
Earth Umbral      Jan 01 2024 06:51:49.300781250   Jan 01 2024 07:26:00.988281250      34.194791667
Earth Umbral      Jan 01 2024 07:04:45.257812500   Jan 01 2024 07:38:56.546875000      34.188151042
Earth Penumbral   Jan 01 2024 07:04:35.628906250   Jan 01 2024 07:39:06.242187500      34.510221354
Earth Umbral      Jan 01 2024 07:17:52.902343750   Jan 01 2024 07:52:01.933593750      34.150520833
Earth Penumbral   Jan 01 2024 07:17:43.207031250   Jan 01 2024 07:52:11.628906250      34.473697917
Earth Penumbral   Jan 01 2024 07:28:51.851562500   Jan 01 2024 08:03:20.472656250      34.477018229
Earth Umbral      Jan 01 2024 07:29:01.480468750   Jan 01 2024 08:03:10.843750000      34.156054688
Earth Umbral      Jan 01 2024 07:40:06.273437500   Jan 01 2024 08:14:19.089843750      34.213606771
Earth Penumbral   Jan 01 2024 07:39:56.644531250   Jan 01 2024 08:14:28.785156250      34.535677083
Earth Umbral      Jan 01 2024 07:53:10.863281250   Jan 01 2024 08:27:20.226562500      34.156054688
