  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)
Earth Umbral      Jan 01 2024 03:54:47.687500000   Jan 01 2024 04:31:25.335937500      36.627473958
Earth Penumbral   Jan 01 2024 03:54:39.585937500   Jan 01 2024 04:31:33.503906250      36.898632812
Earth Umbral      Jan 01 2024 04:03:30.171875000   Jan 01 2024 04:40:10.875000000      36.678385417
Earth Penumbral   Jan 01 2024 04:03:22.003906250   Jan 01 2024 04:40:19.042968750      36.950651042
Earth Umbral      Jan 01 2024 04:12:47.718750000   Jan 01 2024 04:49:26.230468750      36.641861979
Earth Penumbral   Jan 01 2024 04:12:39.617187500   Jan 01 2024 04:49:34.332031250      36.911914063
Earth Umbral      Jan 01 2024 04:22:14.296875000   Jan 01 2024 04:58:48.824218750      36.575455729
Earth Penumbral   Jan 01 2024 04:22:06.195312500   Jan 01 2024 04:58:56.925781250      36.845507813
Earth Penumbral   Jan 01 2024 04:31:06.277343750   Jan 01 2024 05:07:58.003906250      36.862109375
Earth Umbral      Jan 01 2024 04:31:14.445312500   Jan 01 2024 05:07:49.835937500      36.589843750
Earth Umbral      Jan 01 2024 04:39:49.425781250   Jan 01 2024 05:16:27.539062500      36.635221354
Earth Penumbral   Jan 01 2024 04:39:41.324218750   Jan 01 2024 05:16:35.640625000      36.905273438
Earth Umbral      Jan 01 2024 04:48:30.714843750   Jan 01 2024 05:25:09.027343750      36.638541667
Earth Penumbral   Jan 01 2024 04:48:22.613281250   Jan 01 2024 05:25:17.128906250      36.908593750
Earth Penumbral   Jan 01 2024 04:57:36.972656250   Jan 01 2024 05:34:30.625000000      36.894205729
Earth Umbral      Jan 01 2024 04:57:45.140625000   Jan 01 2024 05:34:22.523437500      36.623046875
Earth Umbral      Jan 01 2024 05:07:18.093750000   Jan 01 2024 05:43:54.148437500      36.600911458
Earth Penumbral   Jan 01 2024 05:07:09.925781250   Jan 01 2024 05:44:02.316406250      36.873177083
Earth Umbral      Jan 01 2024 05:16:20.898437500   Jan 01 2024 05:52:56.089843750      36.586523437
Earth Penumbral   Jan 01 2024 05:16:12.796875000   Jan 01 2024 05:53:04.257812500      36.857682292
Earth Penumbral   Jan 01 2024 05:24:37.152343750   Jan 01 2024 06:01:31.136718750      36.899739583
Earth Umbral      Jan 01 2024 05:24:45.320312500   Jan 01 2024 06:01:22.968750000      36.627473958
Earth Penumbral   Jan 01 2024 05:33:14.457031250   Jan 01 2024 06:10:11.496093750      36.950651042
Earth Umbral      Jan 01 2024 05:33:22.625000000   Jan 01 2024 06:10:03.394531250      36.679492188
Earth Penumbral   Jan 01 2024 05:42:37.117187500   Jan 01 2024 06:19:31.832031250      36.911914063
Earth Umbral      Jan 01 2024 05:42:45.218750000   Jan 01 2024 06:19:23.730468750      36.641861979
Earth Umbral      Jan 01 2024 05:52:20.230468750   Jan 01 2024 06:28:54.757812500      36.575455729
Earth Penumbral   Jan 01 2024 05:52:12.128906250   Jan 01 2024 06:29:02.925781250      36.846614583
Earth Penumbral   Jan 01 2024 06:01:12.410156250   Jan 01 2024 06:38:04.070312500      36.861002604
Earth Umbral      Jan 01 2024 06:01:20.511718750   Jan 01 2024 06:37:55.902343750      36.589843750
Earth Penumbral   Jan 01 2024 06:09:39.023437500   Jan 01 2024 06:46:33.406250000      36.906380208
Earth Umbral      Jan 01 2024 06:09:47.191406250   Jan 01 2024 06:46:25.238281250      36.634114583
Earth Umbral      Jan 01 2024 06:18:23.167968750   Jan 01 2024 06:55:01.480468750      36.638541667
Earth Penumbral   Jan 01 2024 06:18:15.066406250   Jan 01 2024 06:55:09.582031250      36.908593750
Earth Umbral      Jan 01 2024 06:27:42.640625000   Jan 01 2024 07:04:20.089843750      36.624153646
Earth Penumbral   Jan 01 2024 06:27:34.539062500   Jan 01 2024 07:04:28.191406250      36.894205729
Earth Umbral      Jan 01 2024 06:37:24.093750000   Jan 01 2024 07:14:00.214843750      36.602018229
Earth Penumbral   Jan 01 2024 06:37:15.925781250   Jan 01 2024 07:14:08.382812500      36.874283854
