  Shadow Event             Entry Epoch                      Exit Epoch                 Duration(min)
Earth Umbral      Jan 01 2024 23:46:14.679687500   Jan 02 2024 00:20:27.894531250      34.220247396
Earth Penumbral   Jan 01 2024 23:46:05.050781250   Jan 02 2024 00:20:37.523437500      34.541210937
Earth Penumbral   Jan 02 2024 00:34:24.878906250   Jan 02 2024 01:08:56.156250000      34.521289063
Earth Umbral      Jan 02 2024 00:34:34.441406250   Jan 02 2024 01:08:46.527343750      34.201432292
Earth Umbral      Jan 02 2024 01:22:51.546875000   Jan 02 2024 01:57:04.761718750      34.220247396
Earth Penumbral   Jan 02 2024 01:22:41.851562500   Jan 02 2024 01:57:14.390625000      34.542317708
Earth Penumbral   Jan 02 2024 02:11:01.679687500   Jan 02 2024 02:45:32.957031250      34.521289063
Earth Umbral      Jan 02 2024 02:11:11.242187500   Jan 02 2024 02:45:23.328125000      34.201432292
Earth Umbral      Jan 02 2024 02:59:28.347656250   Jan 02 2024 03:33:41.562500000      34.220247396
Earth Penumbral   Jan 02 2024 02:59:18.652343750   Jan 02 2024 03:33:51.191406250      34.542317708
Earth Penumbral   Jan 02 2024 03:47:38.414062500   Jan 02 2024 04:22:09.757812500      34.522395833
Earth Umbral      Jan 02 2024 03:47:48.042968750   Jan 02 2024 04:22:00.128906250      34.201432292
Earth Umbral      Jan 02 2024 04:36:05.082031250   Jan 02 2024 05:10:18.363281250      34.221354167
Earth Penumbral   Jan 02 2024 04:35:55.453125000   Jan 02 2024 05:10:27.992187500      34.542317708
Earth Penumbral   Jan 02 2024 05:24:15.214843750   Jan 02 2024 05:58:46.558593750      34.522395833
Earth Umbral      Jan 02 2024 05:24:24.843750000   Jan 02 2024 05:58:36.929687500      34.201432292
Earth Umbral      Jan 02 2024 06:12:41.949218750   Jan 02 2024 06:46:55.230468750      34.221354167
Earth Penumbral   Jan 02 2024 06:12:32.320312500   Jan 02 2024 06:47:04.859375000      34.542317708
Earth Penumbral   Jan 02 2024 07:00:52.148437500   Jan 02 2024 07:35:23.492187500      34.522395833
Earth Umbral      Jan 02 2024 07:01:01.777343750   Jan 02 2024 07:35:13.929687500      34.202539063
Earth Umbral      Jan 02 2024 07:49:18.949218750   Jan 02 2024 08:23:32.230468750      34.221354167
Earth Penumbral   Jan 02 2024 07:49:09.320312500   Jan 02 2024 08:23:41.925781250      34.543424479
Earth Penumbral   Jan 02 2024 08:37:29.082031250   Jan 02 2024 09:12:00.492187500      34.523502604
Earth Umbral      Jan 02 2024 08:37:38.710937500   Jan 02 2024 09:11:50.929687500      34.203645833
Earth Umbral      Jan 02 2024 09:25:55.882812500   Jan 02 2024 10:00:09.230468750      34.222460938
Earth Penumbral   Jan 02 2024 09:25:46.253906250   Jan 02 2024 10:00:18.925781250      34.544531250
Earth Penumbral   Jan 02 2024 10:14:06.015625000   Jan 02 2024 10:48:37.425781250      34.523502604
Earth Umbral      Jan 02 2024 10:14:15.644531250   Jan 02 2024 10:48:27.863281250      34.203645833
Earth Umbral      Jan 02 2024 11:02:32.750000000   Jan 02 2024 11:36:46.097656250      34.222460938
Earth Penumbral   Jan 02 2024 11:02:23.121093750   Jan 02 2024 11:36:55.792968750      34.544531250
Earth Penumbral   Jan 02 2024 11:50:42.750000000   Jan 02 2024 12:25:14.226562500      34.524609375
Earth Umbral      Jan 02 2024 11:50:52.378906250   Jan 02 2024 12:25:04.597656250      34.203645833
